Longitude,Latitude,Pixel,Scan
27.7238455,-85.3235343,0,0
27.7143335,-85.3238939,100,0
27.7048199,-85.3242534,200,0
27.6953048,-85.3246128,300,0
27.6857882,-85.324972,400,0
27.6762701,-85.3253311,500,0
27.6667505,-85.3256902,600,0
27.6572294,-85.326049,700,0
27.6477067,-85.3264078,800,0
27.6381826,-85.3267664,900,0
27.6286569,-85.3271249,1000,0
27.6191298,-85.3274833,1100,0
27.6096011,-85.3278416,1200,0
27.6000709,-85.3281997,1300,0
27.5905392,-85.3285577,1400,0
27.581006,-85.3289156,1500,0
27.5714713,-85.3292734,1600,0
27.5619351,-85.329631,1700,0
27.5523974,-85.3299886,1800,0
27.5428582,-85.3303459,1900,0
27.5333174,-85.3307032,2000,0
27.5237752,-85.3310604,2100,0
27.5142314,-85.3314174,2200,0
27.5046862,-85.3317743,2300,0
27.4951394,-85.3321311,2400,0
27.4855911,-85.3324877,2500,0
27.4760413,-85.3328442,2600,0
27.46649,-85.3332006,2700,0
27.4569372,-85.3335569,2800,0
27.4473829,-85.3339131,2900,0
27.4378271,-85.3342691,3000,0
27.4282698,-85.334625,3100,0
27.4187109,-85.3349808,3200,0
27.4091506,-85.3353364,3300,0
27.3995887,-85.3356919,3400,0
27.3900253,-85.3360474,3500,0
27.3804605,-85.3364026,3600,0
27.3708941,-85.3367578,3700,0
27.3613262,-85.3371128,3800,0
27.3517568,-85.3374677,3900,0
27.3421859,-85.3378225,4000,0
27.3326135,-85.3381772,4100,0
27.3230396,-85.3385317,4200,0
27.3134642,-85.3388861,4300,0
27.3038872,-85.3392404,4400,0
27.2943088,-85.3395945,4500,0
27.2847288,-85.3399486,4600,0
27.2751474,-85.3403025,4700,0
27.2655644,-85.3406563,4800,0
27.2559799,-85.3410099,4900,0
27.246394,-85.3413634,5000,0
27.2368065,-85.3417169,5100,0
27.2272175,-85.3420701,5200,0
27.217627,-85.3424233,5300,0
27.208035,-85.3427763,5400,0
27.1984415,-85.3431292,5500,0
27.1888464,-85.343482,5600,0
27.1792499,-85.3438347,5700,0
27.1696519,-85.3441872,5800,0
27.1600523,-85.3445396,5900,0
27.1504513,-85.3448919,6000,0
27.1408487,-85.345244,6100,0
27.1312447,-85.3455961,6200,0
27.1216391,-85.345948,6300,0
27.112032,-85.3462998,6400,0
27.1024234,-85.3466514,6500,0
27.0928133,-85.3470029,6600,0
27.0832017,-85.3473544,6700,0
27.0735886,-85.3477056,6800,0
27.063974,-85.3480568,6900,0
27.0543579,-85.3484078,7000,0
27.0447403,-85.3487587,7100,0
27.0351212,-85.3491095,7200,0
27.0255005,-85.3494601,7300,0
27.0158784,-85.3498107,7400,0
27.0062547,-85.3501611,7500,0
26.9966296,-85.3505113,7600,0
26.9870029,-85.3508615,7700,0
26.9773748,-85.3512115,7800,0
26.9677451,-85.3515614,7900,0
26.9581139,-85.3519112,8000,0
26.9484812,-85.3522608,8100,0
26.938847,-85.3526103,8200,0
26.9292113,-85.3529597,8300,0
26.9195741,-85.353309,8400,0
26.9099354,-85.3536581,8500,0
26.9002952,-85.3540071,8600,0
26.8906535,-85.354356,8700,0
26.8810103,-85.3547048,8800,0
26.8713655,-85.3550534,8900,0
26.8617193,-85.3554019,9000,0
26.8520716,-85.3557503,9100,0
26.8424223,-85.3560986,9200,0
26.8327716,-85.3564467,9300,0
26.8231193,-85.3567947,9400,0
26.8134656,-85.3571426,9500,0
26.8038103,-85.3574904,9600,0
26.7941535,-85.357838,9700,0
26.7844953,-85.3581855,9800,0
26.7748355,-85.3585329,9900,0
26.7651742,-85.3588801,10000,0
26.7555114,-85.3592272,10100,0
26.7458471,-85.3595742,10200,0
26.7361813,-85.3599211,10300,0
26.726514,-85.3602678,10400,0
26.7168452,-85.3606144,10500,0
26.7071749,-85.3609609,10600,0
26.6975031,-85.3613073,10700,0
26.6878298,-85.3616535,10800,0
26.678155,-85.3619996,10900,0
26.6684786,-85.3623456,11000,0
26.6588008,-85.3626915,11100,0
26.6491215,-85.3630372,11200,0
26.6394406,-85.3633828,11300,0
26.6297583,-85.3637283,11400,0
26.6200744,-85.3640736,11500,0
26.6103891,-85.3644189,11600,0
26.6007022,-85.364764,11700,0
26.5910139,-85.3651089,11800,0
26.581324,-85.3654538,11900,0
26.5717296,-85.365795,11999,0
27.7195999,-85.3227821,0,100
27.7100891,-85.3231416,100,100
27.7005767,-85.3235011,200,100
27.6910629,-85.3238604,300,100
27.6815475,-85.3242196,400,100
27.6720306,-85.3245787,500,100
27.6625122,-85.3249376,600,100
27.6529923,-85.3252964,700,100
27.6434709,-85.3256551,800,100
27.633948,-85.3260137,900,100
27.6244235,-85.3263722,1000,100
27.6148976,-85.3267305,1100,100
27.6053702,-85.3270887,1200,100
27.5958412,-85.3274468,1300,100
27.5863107,-85.3278047,1400,100
27.5767788,-85.3281626,1500,100
27.5672453,-85.3285203,1600,100
27.5577103,-85.3288779,1700,100
27.5481738,-85.3292353,1800,100
27.5386358,-85.3295927,1900,100
27.5290963,-85.3299499,2000,100
27.5195553,-85.330307,2100,100
27.5100128,-85.3306639,2200,100
27.5004687,-85.3310208,2300,100
27.4909232,-85.3313775,2400,100
27.4813761,-85.3317341,2500,100
27.4718276,-85.3320905,2600,100
27.4622775,-85.3324469,2700,100
27.4527259,-85.3328031,2800,100
