Abstime(sec),yyyy-mm-ddTHH:MM:SS.sss,x(m),y(m),z(m),xdot(m/s),ydot(m/s),zdot(m/s),phi(deg.),psi(deg.),theta(deg.),phidot(deg./sec),psidot(deg./sec),thetadot(deg./sec),roll(deg.),pitch(deg.),yaw(deg.)
1762459930.073000,2025-11-06T20:12:10.072,-122098.357062,-38106.533197,-1817441.470111,1284.661936,1026.938912,-96.244646,239.868697497703,21.996459196581,1.034102524598,0.000152000000,0.000000000000,0.000000000000,26.004469,-0.192988,0.087934
1762459930.573000,2025-11-06T20:12:10.572,-121456.114920,-37592.734245,-1817489.408047,1284.711497,1026.954254,-95.508220,239.868773583063,21.996459221472,1.034102706147,0.000152000000,0.000000000000,0.000000000000,26.004541,-0.193059,0.087940
1762459931.073000,2025-11-06T20:12:11.072,-120813.846662,-37078.929355,-1817536.977810,1284.760797,1026.969384,-94.771775,239.868849667528,21.996459246321,1.034102887693,0.000152000000,0.000000000000,0.000000000000,26.004607,-0.193126,0.087948
1762459931.573000,2025-11-06T20:12:11.572,-120171.552422,-36565.118635,-1817584.179386,1284.809836,1026.984302,-94.035309,239.868925751170,21.996459271132,1.034103069237,0.000152000000,0.000000000000,0.000000000000,26.004668,-0.193191,0.087956
1762459932.073000,2025-11-06T20:12:12.072,-119529.232335,-36051.302194,-1817631.012759,1284.858614,1026.999008,-93.298823,239.869001834054,21.996459295907,1.034103250780,0.000152000000,0.000000000000,0.000000000000,26.004725,-0.193253,0.087966
1762459932.573000,2025-11-06T20:12:12.572,-118886.886533,-35537.480138,-1817677.477915,1284.907131,1027.013503,-92.562315,239.869077916243,21.996459320649,1.034103432321,0.000152000000,0.000000000000,0.000000000000,26.004776,-0.193313,0.087976
1762459933.073000,2025-11-06T20:12:13.072,-118244.515148,-35023.652577,-1817723.574840,1284.955387,1027.027786,-91.825786,239.869153997797,21.996459345361,1.034103613860,0.000152000000,0.000000000000,0.000000000000,26.004824,-0.193370,0.087987
1762459933.573000,2025-11-06T20:12:13.572,-117602.118315,-34509.819617,-1817769.303518,1285.003382,1027.041858,-91.089234,239.869230078773,21.996459370047,1.034103795398,0.000152000000,0.000000000000,0.000000000000,26.004867,-0.193426,0.087999
1762459934.073000,2025-11-06T20:12:14.072,-116959.696165,-33995.981366,-1817814.663937,1285.051116,1027.055719,-90.352660,239.869306159222,21.996459394707,1.034103976935,0.000152000000,0.000000000000,0.000000000000,26.004906,-0.193480,0.088012
1762459934.573000,2025-11-06T20:12:14.572,-116317.248830,-33482.137931,-1817859.656081,1285.098590,1027.069369,-89.616064,239.869382239195,21.996459419345,1.034104158470,0.000152000000,0.000000000000,0.000000000000,26.004942,-0.193532,0.088026
1762459935.073000,2025-11-06T20:12:15.072,-115674.776444,-32968.289419,-1817904.279937,1285.145804,1027.082808,-88.879444,239.869458318739,21.996459443963,1.034104340005,0.000152000000,0.000000000000,0.000000000000,26.004974,-0.193583,0.088040
1762459935.573000,2025-11-06T20:12:15.572,-115032.279137,-32454.435936,-1817948.535490,1285.192757,1027.096037,-88.142801,239.869534397898,21.996459468563,1.034104521538,0.000152000000,0.000000000000,0.000000000000,26.005003,-0.193633,0.088055
1762459936.073000,2025-11-06T20:12:16.072,-114389.757042,-31940.577590,-1817992.422727,1285.239449,1027.109056,-87.406135,239.869610476714,21.996459493147,1.034104703070,0.000152000000,0.000000000000,0.000000000000,26.005029,-0.193682,0.088071
1762459936.573000,2025-11-06T20:12:16.572,-113747.210291,-31426.714487,-1818035.941634,1285.285881,1027.121865,-86.669445,239.869686555224,21.996459517717,1.034104884602,0.000152000000,0.000000000000,0.000000000000,26.005051,-0.193730,0.088087
1762459937.073000,2025-11-06T20:12:17.072,-113104.639015,-30912.846732,-1818079.092197,1285.332053,1027.134464,-85.932731,239.869762633465,21.996459542274,1.034105066133,0.000152000000,0.000000000000,0.000000000000,26.005072,-0.193777,0.088104
1762459937.573000,2025-11-06T20:12:17.572,-112462.043346,-30398.974433,-1818121.874402,1285.377965,1027.146853,-85.195993,239.869838711472,21.996459566819,1.034105247663,0.000152000000,0.000000000000,0.000000000000,26.005089,-0.193823,0.088122
1762459938.073000,2025-11-06T20:12:18.072,-111819.423415,-29885.097694,-1818164.288237,1285.423616,1027.159032,-84.459231,239.869914789275,21.996459591356,1.034105429193,0.000152000000,0.000000000000,0.000000000000,26.005104,-0.193869,0.088140
1762459938.573000,2025-11-06T20:12:18.572,-111176.779352,-29371.216622,-1818206.333688,1285.469008,1027.171002,-83.722444,239.869990866903,21.996459615884,1.034105610722,0.000152000000,0.000000000000,0.000000000000,26.005117,-0.193915,0.088158
1762459939.073000,2025-11-06T20:12:19.072,-110534.111290,-28857.331322,-1818248.010741,1285.514139,1027.182762,-82.985634,239.870066944384,21.996459640405,1.034105792251,0.000152000000,0.000000000000,0.000000000000,26.005128,-0.193960,0.088177
1762459939.573000,2025-11-06T20:12:19.572,-109891.419358,-28343.441899,-1818289.319384,1285.559010,1027.194313,-82.248799,239.870143021743,21.996459664920,1.034105973779,0.000152000000,0.000000000000,0.000000000000,26.005137,-0.194005,0.088196
1762459940.073000,2025-11-06T20:12:20.072,-109248.703688,-27829.548460,-1818330.259603,1285.603622,1027.205654,-81.511939,239.870219099003,21.996459689431,1.034106155307,0.000152000000,0.000000000000,0.000000000000,26.005144,-0.194050,0.088216
1762459940.573000,2025-11-06T20:12:20.572,-108605.964411,-27315.651109,-1818370.831386,1285.647973,1027.216787,-80.775056,239.870295176184,21.996459713938,1.034106336835,0.000152000000,0.000000000000,0.000000000000,26.005150,-0.194095,0.088236
1762459941.073000,2025-11-06T20:12:21.072,-107963.201657,-26801.749951,-1818411.034719,1285.692065,1027.227710,-80.038148,239.870371253308,21.996459738443,1.034106518362,0.000152000000,0.000000000000,0.000000000000,26.005154,-0.194139,0.088257
1762459941.573000,2025-11-06T20:12:21.572,-107320.415557,-26287.845092,-1818450.869591,1285.735896,1027.238425,-79.301215,239.870447330391,21.996459762945,1.034106699890,0.000152000000,0.000000000000,0.000000000000,26.005156,-0.194184,0.088277
1762459942.073000,2025-11-06T20:12:22.072,-106677.606241,-25773.936637,-1818490.335988,1285.779468,1027.248931,-78.564258,239.870523407449,21.996459787447,1.034106881417,0.000152000000,0.000000000000,0.000000000000,26.005157,-0.194229,0.088298
1762459942.573000,2025-11-06T20:12:22.572,-106034.773839,-25260.024690,-1818529.433898,1285.822780,1027.259228,-77.827277,239.870599484497,21.996459811948,1.034107062944,0.000152000000,0.000000000000,0.000000000000,26.005157,-0.194274,0.088319
1762459943.073000,2025-11-06T20:12:23.072,-105391.918482,-24746.109356,-1818568.163308,1285.865833,1027.269316,-77.090272,239.870675561549,21.996459836449,1.034107244471,0.000152000000,0.000000000000,0.000000000000,26.005156,-0.194320,0.088341
1762459943.573000,2025-11-06T20:12:23.572,-104749.040300,-24232.190740,-1818606.524207,1285.908626,1027.279195,-76.353243,239.870751638617,21.996459860951,1.034107425997,0.000152000000,0.000000000000,0.000000000000,26.005154,-0.194365,0.088363
1762459944.073000,2025-11-06T20:12:24.072,-104106.139423,-23718.268946,-1818644.516582,1285.951159,1027.288866,-75.616190,239.870827715710,21.996459885454,1.034107607524,0.000152000000,0.000000000000,0.000000000000,26.005151,-0.194411,0.088384
1762459944.573000,2025-11-06T20:12:24.572,-103463.215981,-23204.344080,-1818682.140420,1285.993432,1027.298329,-74.879112,239.870903792838,21.996459909959,1.034107789051,0.000152000000,0.000000000000,0.000000000000,26.005148,-0.194457,0.088406
1762459945.073000,2025-11-06T20:12:25.072,-102820.270104,-22690.416245,-1818719.395711,1286.035446,1027.307582,-74.142011,239.870979870009,21.996459934466,1.034107970578,0.000152000000,0.000000000000,0.000000000000,26.005143,-0.194504,0.088428
1762459945.573000,2025-11-06T20:12:25.572,-102177.301923,-22176.485546,-1818756.282443,1286.077200,1027.316628,-73.404886,239.871055947231,21.996459958975,1.034108152105,0.000152000000,0.000000000000,0.000000000000,26.005138,-0.194551,0.088451
1762459946.073000,2025-11-06T20:12:26.072,-101534.311566,-21662.552087,-1818792.800602,1286.118695,1027.325465,-72.667738,239.871132024509,21.996459983487,1.034108333632,0.000152000000,0.000000000000,0.000000000000,26.005132,-0.194598,0.088473
1762459946.573000,2025-11-06T20:12:26.572,-100891.299165,-21148.615974,-1818828.950179,1286.159930,1027.334094,-71.930566,239.871208101848,21.996460008002,1.034108515159,0.000152000000,0.000000000000,0.000000000000,26.005126,-0.194646,0.088495
1762459947.073000,2025-11-06T20:12:27.072,-100248.264848,-20634.677309,-1818864.731161,1286.200906,1027.342514,-71.193372,239.871284179253,21.996460032520,1.034108696686,0.000152000000,0.000000000000,0.000000000000,26.005119,-0.194694,0.088518
1762459947.573000,2025-11-06T20:12:27.572,-99605.208746,-20120.736198,-1818900.143537,1286.241622,1027.350726,-70.456154,239.871360256727,21.996460057041,1.034108878213,0.000152000000,0.000000000000,0.000000000000,26.005112,-0.194742,0.088540
1762459948.073000,2025-11-06T20:12:28.072,-98962.130989,-19606.792744,-1818935.187295,1286.282078,1027.358729,-69.718913,239.871436334272,21.996460081566,1.034109059740,0.000152000000,0.000000000000,0.000000000000,26.005105,-0.194791,0.088562
